Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
10,2019-11-12,LAL,1,39:12,9,18,.500,0,2,.000,3,1.000,9,5,21,13.3,-5
11,2019-11-14,ATL,1,32:04,8,16,.500,3,7,.429,8,1.000,7,3,27,18.3,+3
12,2019-11-18,BOS,1,34:05,7,13,.538,2,4,.500,4,1.000,4,4,20,10.2,-9
13,2019-11-19,SAC,1,38:45,10,20,.500,3,6,.500,8,.875,8,5,30,23.1,-14
14,2019-11-21,NOP,1,37:22,7,14,.500,2,6,.333,3,1.000,7,2,19,11.6,-5
15,2019-11-23,MIN,1,38:27,12,26,.462,0,5,.000,11,1.000,9,1,35,29.0,-4
16,2019-11-24,DEN,1,33:09,5,13,.385,1,7,.143,1,1.000,5,1,12,3.3,-18
17,2019-11-27,WAS,1,38:06,10,20,.500,2,6,.333,5,1.000,8,1,27,21.5,-6
18,2019-11-29,DAL,1,37:45,6,16,.375,1,3,.333,5,1.000,8,2,18,14.3,-14
19,2019-12-02,CHO,1,38:23,7,15,.467,3,10,.300,7,.857,4,3,23,14.8,+8
20,2019-12-04,ORL,1,29:59,7,16,.438,2,5,.400,2,.500,5,2,17,9.8,-5
21,2019-12-05,NOP,1,42:27,13,23,.565,5,11,.455,13,1.000,9,4,44,38.0,+11
22,2019-12-07,HOU,1,37:11,11,19,.579,2,4,.500,16,.688,5,4,35,27.6,-5
23,2019-12-09,MIN,1,36:15,11,20,.550,3,7,.429,2,.500,7,1,26,19.8,+15
24,2019-12-11,MEM,1,39:17,6,17,.353,0,3,.000,4,.750,10,1,15,13.6,-15
28,2019-12-20,OKC,1,27:57,6,11,.545,0,2,.000,7,.857,3,3,18,11.8,-9
29,2019-12-21,HOU,1,33:31,6,16,.375,0,3,.000,7,1.000,9,2,19,13.3,-14
30,2019-12-23,DEN,1,34:21,3,12,.250,1,6,.167,4,1.000,6,5,11,6.3,-5
31,2019-12-27,GSW,1,37:36,13,24,.542,1,6,.167,8,.875,4,3,34,18.5,-10
32,2019-12-28,SAC,1,40:55,14,23,.609,0,4,.000,6,.667,10,3,32,26.8,+6
34,2020-01-01,LAL,1,37:14,11,23,.478,1,3,.333,10,.900,7,3,32,19.2,-13
35,2020-01-03,NYK,1,38:27,14,27,.519,2,5,.400,8,1.000,7,4,38,24.9,+7
36,2020-01-05,MEM,1,37:14,13,20,.650,1,5,.200,14,.929,6,2,40,32.8,+5
37,2020-01-07,SAC,1,39:23,12,21,.571,2,6,.333,8,1.000,7,2,34,28.8,0
38,2020-01-10,ORL,1,36:42,7,15,.467,4,8,.500,6,1.000,5,1,24,20.3,+7
39,2020-01-12,CHO,1,37:59,3,12,.250,1,6,.167,6,.833,9,4,12,5.0,+14
40,2020-01-14,ATL,1,34:07,12,23,.522,2,4,.500,13,1.000,3,4,39,30.1,-1
41,2020-01-16,NYK,1,27:55,9,17,.529,2,8,.250,11,.818,4,5,29,18.9,+31
42,2020-01-18,BOS,1,40:39,12,20,.600,1,4,.250,15,.933,9,4,39,35.1,+17
43,2020-01-20,SAS,1,38:44,13,23,.565,4,6,.667,7,1.000,5,3,37,25.9,+6
44,2020-01-22,IND,1,31:11,5,12,.417,0,3,.000,6,1.000,3,2,16,8.5,-24
45,2020-01-24,SAS,1,40:42,11,20,.550,3,7,.429,10,1.000,10,6,35,25.9,+6
46,2020-01-26,MEM,1,39:28,11,24,.458,5,11,.455,10,.900,5,3,36,22.8,-2
47,2020-01-28,DAL,1,30:44,12,20,.600,2,4,.500,8,.750,9,1,32,30.7,+36
48,2020-01-31,OKC,1,39:28,9,18,.500,1,5,.200,8,1.000,5,6,27,13.0,-15
49,2020-02-02,MIL,1,33:47,9,15,.600,2,5,.400,13,.923,6,1,32,25.6,-13
50,2020-02-03,BRK,1,31:37,3,15,.200,1,4,.250,5,.800,4,3,11,1.1,-22
51,2020-02-05,DET,1,41:50,8,16,.500,2,6,.333,5,.800,7,3,22,15.5,-4
52,2020-02-07,HOU,1,29:33,10,18,.556,4,8,.500,9,1.000,3,1,33,26.3,+26
